Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Weather_Condition,Weather_Condition
69.0,84.0,29.8,10.0,9,9
68.0,52.0,30.47,10.0,56,56
64.0,45.0,29.99,10.0,51,51
75.0,33.0,30.31,10.0,9,9
58.0,44.0,29.78,10.0,9,9
91.9,38.0,29.99,10.0,51,51
48.0,71.0,30.01,10.0,5,5
75.9,40.0,29.92,10.0,4,4
80.0,39.0,29.88,10.0,9,9
32.0,93.0,29.11,1.0,45,45
92.0,58.0,29.91,10.0,51,51
61.0,81.0,30.2,10.0,4,4
72.0,15.0,29.36,10.0,9,9
33.0,82.0,29.17,9.0,44,44
24.1,53.0,30.38,10.0,4,4
61.0,58.0,30.28,10.0,51,51
64.0,93.0,29.8,7.0,51,51
80.0,48.0,30.21,10.0,5,5
30.0,88.0,30.33,6.0,44,44
75.0,46.0,30.15,10.0,9,9
51.8,94.0,30.11,10.0,51,51
27.0,89.0,29.69,10.0,9,9
63.0,100.0,29.92,0.8,26,26
50.0,100.0,28.3,2.0,59,59
46.0,38.0,29.28,10.0,9,9
66.0,50.0,30.04,10.0,9,9
9.0,79.0,29.48,10.0,9,9
63.0,70.0,29.92,10.0,9,9
62.0,48.0,28.37,10.0,9,9
72.0,43.0,30.25,10.0,51,51
59.0,55.0,29.55,10.0,9,9
74.0,87.0,29.49,10.0,9,9
55.0,77.0,28.98,10.0,5,5
62.0,100.0,30.01,2.0,11,11
64.0,84.0,30.06,6.0,37,37
81.0,25.0,28.99,10.0,9,9
84.0,69.0,29.96,10.0,51,51
77.0,84.0,29.84,10.0,37,37
56.0,93.0,29.68,4.0,59,59
80.0,29.0,27.15,10.0,56,56
46.4,66.0,30.23,10.0,54,54
85.0,51.0,29.77,10.0,56,56
46.0,93.0,28.96,10.0,20,20
14.0,80.0,28.08,10.0,56,56
52.0,100.0,29.8,1.0,5,5
63.0,42.0,29.21,10.0,9,9
57.0,69.0,29.87,10.0,5,5
64.0,67.0,29.86,10.0,84,84
41.0,86.0,30.0,2.0,37,37
23.0,81.0,28.64,6.0,44,44
73.0,76.0,29.19,10.0,5,5
33.0,69.0,28.22,10.0,9,9
65.0,75.0,29.76,9.0,9,9
75.0,94.0,30.02,10.0,9,9
65.0,65.0,29.95,10.0,51,51
84.0,55.0,29.01,10.0,51,51
51.1,74.0,30.1,10.0,51,51
74.0,82.0,29.05,10.0,6,6
61.0,56.0,30.16,10.0,64,64
34.0,75.0,29.93,3.0,44,44
69.0,75.0,29.95,10.0,9,9
57.9,78.0,29.8,10.0,54,54
73.0,53.0,29.71,10.0,9,9
79.0,88.0,29.97,10.0,78,78
50.0,96.0,30.13,5.0,37,37
81.0,56.0,30.2,10.0,5,5
48.7,46.0,30.13,10.0,4,4
27.0,53.0,30.32,10.0,52,52
68.0,47.0,29.18,10.0,9,9
38.0,93.0,30.0,10.0,9,9
73.9,97.0,29.92,10.0,64,64
66.0,48.0,29.77,10.0,54,54
45.0,44.0,25.31,10.0,57,57
76.0,51.0,29.92,10.0,9,9
72.0,87.0,29.14,10.0,5,5
35.0,96.0,30.12,3.0,9,9
64.0,59.0,29.67,10.0,56,56
18.0,96.0,26.14,2.0,44,44
96.8,30.0,29.83,10.0,4,4
78.1,71.0,29.85,8.0,37,37
96.8,22.0,29.84,9.0,4,4
64.0,48.0,29.15,10.0,56,56
62.0,60.0,29.93,10.0,51,51
29.0,56.0,29.43,10.0,51,51
64.0,67.0,29.86,10.0,84,84
74.0,55.0,29.78,10.0,56,56
43.0,93.0,29.95,10.0,9,9
62.0,93.0,30.18,10.0,9,9
58.0,84.0,30.04,10.0,5,5
79.3,21.0,30.03,10.0,4,4
40.0,89.0,29.14,6.0,9,9
93.0,24.0,28.84,10.0,9,9
45.0,93.0,29.1,7.0,5,5
68.0,52.0,30.07,10.0,56,56
70.2,93.0,30.12,10.0,4,4
82.0,28.0,29.75,10.0,9,9
59.0,17.0,27.24,10.0,9,9
46.0,68.0,30.3,10.0,4,4
67.0,52.0,29.79,10.0,9,9
56.0,90.0,30.07,10.0,37,37
64.0,84.0,29.86,5.0,5,5
55.9,100.0,29.84,10.0,54,54
73.0,81.0,29.49,10.0,51,51
75.2,89.0,29.83,10.0,51,51
79.0,58.0,30.21,10.0,9,9
85.0,28.0,27.19,8.0,10,10
50.0,86.0,29.96,10.0,37,37
37.0,87.0,26.13,10.0,56,56
62.0,48.0,29.79,10.0,9,9
64.0,96.0,29.89,10.0,54,54
77.0,56.0,29.23,10.0,51,51
73.0,61.0,29.83,10.0,9,9
57.2,27.0,30.31,50.0,4,4
73.0,55.0,30.06,10.0,4,4
33.0,100.0,29.56,1.0,44,44
84.0,49.0,29.74,10.0,4,4
72.0,93.0,30.0,8.0,5,5
82.4,13.0,29.93,30.0,64,64
61.0,81.0,29.84,7.0,37,37
88.0,55.0,29.93,10.0,51,51
62.1,84.0,29.89,8.0,54,54
77.0,62.0,29.84,7.0,9,9
79.0,62.0,29.91,10.0,9,9
64.0,49.0,30.02,10.0,9,9
85.0,74.0,30.02,10.0,9,9
28.0,86.0,28.72,2.0,86,86
42.0,82.0,30.14,10.0,9,9
72.0,76.0,29.36,10.0,5,5
41.0,65.0,28.86,10.0,5,5
39.0,93.0,29.86,10.0,9,9
35.0,78.0,29.01,6.0,17,17
55.4,100.0,29.97,5.0,37,37
63.0,97.0,29.18,2.0,37,37
51.0,80.0,29.63,4.0,20,20
62.0,80.0,30.0,10.0,9,9
50.0,94.0,29.56,3.0,6,6
77.0,76.0,30.05,10.0,51,51
51.0,35.0,29.55,10.0,9,9
72.0,76.0,29.83,10.0,9,9
75.2,89.0,29.8,15.0,64,64
34.0,87.0,27.11,9.0,44,44
76.0,49.0,28.61,10.0,9,9
85.0,38.0,29.47,10.0,9,9
80.0,85.0,30.01,10.0,5,5
33.0,85.0,29.49,1.0,44,44
67.0,61.0,29.81,10.0,9,9
66.2,94.0,30.12,10.0,51,51
50.0,24.0,29.72,10.0,9,9
53.0,86.0,30.1,10.0,9,9
55.0,94.0,29.93,10.0,9,9
85.0,46.0,28.98,10.0,9,9
34.0,73.0,29.21,10.0,9,9
70.0,39.0,29.02,10.0,51,51
77.0,69.0,30.11,10.0,51,51
58.0,50.0,29.74,10.0,9,9
68.0,81.0,30.09,10.0,4,4
88.0,61.0,29.95,10.0,9,9
97.0,16.0,28.69,7.0,9,9
75.0,94.0,29.56,10.0,9,9
34.0,64.0,29.43,10.0,5,5
36.0,75.0,30.0,10.0,9,9
-3.0,75.0,29.12,10.0,5,5
71.4,79.0,29.98,10.0,51,51
77.0,84.0,30.06,10.0,51,51
29.0,78.0,29.42,3.0,86,86
48.0,63.0,29.43,10.0,5,5
52.0,35.0,30.13,10.0,9,9
59.0,48.0,28.84,10.0,9,9
25.0,88.0,29.14,3.0,44,44
53.0,96.0,29.8,0.25,11,11
28.0,86.0,28.46,10.0,51,51
67.0,60.0,28.96,10.0,9,9
71.1,42.0,30.25,10.0,4,4
61.0,96.0,28.64,10.0,76,76
79.0,35.0,29.38,10.0,51,51
50.0,38.0,29.93,10.0,9,9
54.0,55.0,30.09,10.0,51,51
68.0,59.0,28.83,10.0,9,9
37.0,89.0,30.37,5.0,37,37
33.0,96.0,28.61,0.75,44,44
35.0,92.0,25.19,10.0,86,86
34.0,74.0,29.71,10.0,56,56
73.0,81.0,29.34,10.0,5,5
81.0,79.0,29.98,10.0,82,82
54.0,58.0,29.87,10.0,9,9
58.0,47.0,29.68,10.0,9,9
71.0,81.0,27.76,10.0,9,9
27.0,81.0,30.17,9.0,4,4
64.0,67.0,29.86,10.0,84,84
75.0,55.0,30.01,10.0,4,4
87.0,61.0,29.83,10.0,9,9
57.9,30.0,30.02,10.0,4,4
37.0,82.0,25.64,10.0,5,5
27.0,40.0,29.75,15.0,9,9
57.0,82.0,29.8,10.0,5,5
88.0,35.0,29.75,10.0,9,9
19.0,62.0,29.87,10.0,4,4
68.0,30.0,30.0,10.0,4,4
52.0,94.0,29.41,10.0,9,9
88.0,52.0,29.89,10.0,9,9
66.0,90.0,29.7,6.0,5,5
73.0,49.0,30.08,10.0,51,51
46.0,87.0,29.94,7.0,37,37
44.0,27.0,30.21,10.0,9,9
75.9,36.0,30.47,10.0,4,4
89.0,16.0,23.74,10.0,9,9
55.0,94.0,29.74,4.0,37,37
71.0,90.0,29.19,1.0,59,59
58.0,47.0,30.08,10.0,51,51
19.0,96.0,28.83,3.0,86,86
70.0,83.0,29.65,10.0,9,9
57.9,26.0,30.2,10.0,4,4
23.0,39.0,30.42,10.0,56,56
75.0,76.0,29.58,10.0,56,56
48.0,18.0,25.68,10.0,9,9
13.0,76.0,28.94,10.0,9,9
55.9,51.0,29.65,10.0,51,51
91.0,59.0,29.95,10.0,9,9
71.0,87.0,30.21,7.0,42,42
73.0,42.0,29.82,10.0,9,9
75.0,90.0,30.07,9.0,37,37
42.0,79.0,29.96,10.0,5,5
29.0,92.0,29.81,1.0,11,11
65.0,47.0,30.38,10.0,9,9
91.0,45.0,29.89,10.0,4,4
77.0,34.0,30.01,10.0,4,4
86.0,74.0,29.73,10.0,37,37
34.0,92.0,28.71,6.0,44,44
68.0,47.0,25.85,10.0,56,56
77.0,50.0,30.11,10.0,56,56
82.0,54.0,30.11,10.0,51,51
48.9,83.0,29.85,7.0,37,37
77.0,64.0,29.06,10.0,9,9
23.0,54.0,30.13,10.0,4,4
70.0,94.0,29.95,4.0,59,59
37.4,65.0,30.03,10.0,54,54
37.0,89.0,28.71,10.0,5,5
68.0,42.0,29.31,10.0,51,51
79.0,36.0,28.76,10.0,9,9
58.0,65.0,29.75,10.0,9,9
64.0,80.0,29.87,7.0,4,4
44.0,35.0,25.6,10.0,5,5
74.0,55.0,26.52,1.0,17,17
43.0,76.0,29.15,10.0,56,56
69.0,81.0,29.77,10.0,9,9
63.0,60.0,29.88,10.0,5,5
34.0,75.0,29.71,10.0,5,5
53.0,48.0,29.51,10.0,51,51
43.0,61.0,29.89,10.0,5,5
84.0,70.0,29.7,10.0,9,9
55.9,97.0,30.06,9.0,37,37
70.7,26.0,30.03,10.0,4,4
73.0,9.0,28.54,10.0,9,9
75.0,69.0,29.42,13.0,5,5
82.0,85.0,29.99,10.0,51,51
62.1,60.0,29.94,10.0,4,4
68.0,96.0,30.01,9.0,54,54
46.4,87.0,30.37,8.0,4,4
73.0,94.0,28.81,2.0,51,51
64.0,67.0,29.86,10.0,84,84
77.0,88.0,29.92,10.0,81,81
72.0,49.0,29.79,10.0,9,9
43.0,100.0,29.6,2.0,37,37
56.0,55.0,29.92,10.0,51,51
65.0,84.0,29.5,10.0,9,9
73.0,71.0,29.7,10.0,9,9
55.0,40.0,29.1,10.0,51,51
71.1,93.0,29.99,3.0,37,37
81.0,42.0,29.04,10.0,9,9
94.0,56.0,29.74,10.0,9,9
71.0,68.0,30.03,10.0,9,9
77.0,76.0,29.82,10.0,56,56
15.0,64.0,30.26,10.0,9,9
64.0,78.0,29.99,10.0,4,4
73.4,78.0,30.17,10.0,4,4
42.1,92.0,30.3,2.0,37,37
73.0,93.0,29.32,10.0,9,9
60.0,61.0,29.98,10.0,9,9
76.0,56.0,29.36,10.0,9,9
31.0,72.0,29.29,10.0,56,56
54.0,75.0,29.87,10.0,9,9
68.0,42.0,29.31,10.0,51,51
45.0,86.0,29.07,10.0,9,9
21.0,91.0,28.48,0.5,5,5
73.0,25.0,29.98,10.0,4,4
61.0,94.0,29.93,10.0,5,5
76.0,46.0,29.07,10.0,9,9
49.0,69.0,30.07,9.0,9,9
76.0,45.0,29.07,10.0,9,9
42.0,79.0,29.84,10.0,56,56
79.0,82.0,29.67,8.0,51,51
73.9,43.0,29.78,10.0,4,4
71.0,68.0,29.68,10.0,51,51
64.4,24.0,30.1,10.0,4,4
66.0,50.0,29.91,10.0,4,4
62.1,41.0,30.06,10.0,4,4
88.9,62.0,29.98,10.0,64,64
73.0,17.0,28.58,10.0,56,56
83.0,47.0,29.71,10.0,51,51
65.0,70.0,29.42,10.0,9,9
65.0,78.0,29.82,9.0,5,5
62.0,46.0,30.13,10.0,56,56
0.0,74.0,28.84,10.0,9,9
98.0,24.0,29.76,10.0,9,9
94.0,30.0,28.73,10.0,9,9
82.0,82.0,30.0,10.0,54,54
64.0,27.0,25.75,10.0,51,51
20.0,71.0,29.38,4.0,44,44
72.0,94.0,29.78,10.0,51,51
37.0,70.0,29.21,10.0,5,5
38.0,86.0,29.37,2.0,44,44
57.0,100.0,29.8,10.0,51,51
44.1,89.0,30.15,10.0,56,56
28.0,92.0,29.56,0.25,22,22
64.0,67.0,29.86,10.0,84,84
58.0,93.0,28.94,8.0,37,37
55.9,80.0,30.0,10.0,54,54
65.0,63.0,30.05,10.0,9,9
46.0,40.0,29.67,10.0,51,51
43.0,93.0,28.57,2.0,11,11
75.0,51.0,30.11,10.0,9,9
66.0,40.0,30.21,10.0,4,4
74.0,39.0,29.28,10.0,9,9
53.1,96.0,30.25,6.0,54,54
55.0,86.0,29.27,10.0,5,5
41.0,82.0,29.29,10.0,9,9
41.0,76.0,29.83,10.0,51,51
55.0,45.0,29.63,10.0,51,51
45.0,90.0,30.11,10.0,4,4
70.0,30.0,25.52,10.0,9,9
27.9,35.0,30.57,10.0,54,54
89.1,52.0,29.93,10.0,51,51
52.0,71.0,29.78,10.0,9,9
85.0,59.0,29.61,10.0,56,56
53.1,86.0,30.04,10.0,54,54
71.1,63.0,29.86,10.0,4,4
64.0,93.0,29.88,6.0,54,54
87.0,57.0,29.42,10.0,9,9
53.0,64.0,29.34,10.0,5,5
70.0,90.0,29.95,10.0,29,29
66.2,88.0,30.15,4.0,84,84
63.0,11.0,29.63,10.0,9,9
81.0,69.0,30.01,10.0,9,9
27.0,75.0,25.61,10.0,56,56
64.0,67.0,29.86,10.0,84,84
66.0,47.0,30.3,10.0,56,56
80.0,43.0,29.03,10.0,9,9
67.0,93.0,29.52,6.0,5,5
45.0,93.0,29.31,7.0,37,37
43.0,34.0,30.04,10.0,51,51
75.2,100.0,30.09,10.0,54,54
48.0,96.0,29.86,4.0,54,54
70.0,55.0,29.14,10.0,56,56
92.0,50.0,29.08,10.0,51,51
75.0,50.0,28.85,10.0,9,9
37.0,81.0,26.39,10.0,9,9
34.0,92.0,29.97,1.0,11,11
94.0,23.0,29.9,10.0,56,56
48.0,37.0,30.34,10.0,9,9
78.8,74.0,29.92,10.0,51,51
49.0,83.0,28.78,1.0,59,59
88.0,49.0,29.97,10.0,56,56
74.0,93.0,29.97,10.0,51,51
32.0,100.0,27.99,1.0,71,71
78.0,48.0,29.78,10.0,9,9
60.1,69.0,30.05,10.0,51,51
57.0,74.0,30.15,10.0,4,4
95.0,28.0,29.99,10.0,4,4
50.0,63.0,29.72,10.0,51,51
75.0,90.0,29.92,5.0,37,37
72.0,87.0,28.81,8.0,5,5
61.0,81.0,29.6,10.0,9,9
69.0,25.0,27.27,10.0,56,56
42.1,85.0,29.92,9.0,54,54
39.9,60.0,29.97,10.0,4,4
46.4,93.0,30.1,3.0,54,54
54.0,20.0,29.27,10.0,9,9
71.0,59.0,24.98,10.0,9,9
31.0,54.0,29.39,10.0,10,10
71.1,49.0,30.07,10.0,4,4
52.0,50.0,29.99,10.0,54,54
48.9,54.0,30.11,10.0,4,4
65.0,78.0,29.91,10.0,5,5
14.0,45.0,30.28,10.0,51,51
28.0,100.0,29.65,10.0,56,56
67.0,54.0,30.01,10.0,9,9
42.8,61.0,30.66,10.0,54,54
46.0,86.0,29.57,8.0,29,29
55.0,23.0,29.16,10.0,9,9
82.9,65.0,30.03,10.0,4,4
69.0,57.0,29.46,10.0,9,9
51.1,100.0,29.41,3.0,37,37
36.0,70.0,29.67,10.0,9,9
59.0,36.0,29.95,10.0,4,4
75.0,90.0,29.8,10.0,9,9
81.0,27.0,29.51,10.0,9,9
60.0,72.0,29.82,6.0,17,17
58.0,72.0,29.59,10.0,9,9
75.0,31.0,27.02,10.0,9,9
58.0,93.0,29.71,1.0,37,37
77.0,17.0,27.18,10.0,9,9
85.0,32.0,29.83,10.0,9,9
65.0,84.0,29.9,6.0,17,17
60.1,83.0,30.07,7.0,54,54
66.0,25.0,29.43,10.0,9,9
84.0,33.0,29.95,10.0,4,4
74.0,59.0,30.09,10.0,9,9
81.0,44.0,29.29,10.0,51,51
74.0,64.0,30.23,10.0,9,9
43.0,34.0,29.79,10.0,10,10
74.0,7.0,30.09,10.0,69,69
71.0,70.0,30.01,10.0,5,5
70.0,39.0,30.04,10.0,56,56
52.0,39.0,29.52,10.0,9,9
74.0,95.0,29.6,10.0,9,9
76.0,100.0,30.03,6.0,5,5
19.0,65.0,23.84,10.0,9,9
57.0,93.0,29.28,10.0,51,51
34.0,60.0,30.06,10.0,9,9
57.0,51.0,29.62,10.0,51,51
71.0,93.0,29.48,10.0,51,51
96.0,31.0,29.25,10.0,9,9
53.0,93.0,29.59,10.0,37,37
64.0,67.0,29.86,10.0,84,84
44.0,49.0,29.99,10.0,10,10
69.8,23.0,30.09,45.0,64,64
82.0,70.0,29.98,10.0,9,9
64.9,75.0,29.78,10.0,4,4
56.0,90.0,29.06,5.0,5,5
57.6,61.0,29.79,10.0,54,54
38.0,89.0,29.6,10.0,9,9
44.0,76.0,29.91,9.0,56,56
90.0,12.0,25.68,10.0,9,9
68.0,52.0,30.27,10.0,51,51
69.0,84.0,29.39,10.0,56,56
75.0,66.0,29.92,10.0,9,9
60.8,42.0,30.38,10.0,4,4
82.0,44.0,29.74,10.0,9,9
53.0,86.0,29.97,10.0,5,5
85.0,40.0,28.8,10.0,9,9
86.0,66.0,30.06,10.0,51,51
70.0,57.0,29.86,10.0,9,9
59.0,93.0,29.32,6.0,9,9
57.2,73.0,30.08,10.0,51,51
79.0,82.0,29.51,10.0,56,56
55.0,89.0,29.49,9.0,5,5
73.0,71.0,29.86,10.0,9,9
79.0,88.0,30.0,10.0,4,4
88.0,30.0,29.84,10.0,9,9
48.0,96.0,30.0,1.5,26,26
64.0,67.0,29.86,10.0,84,84
37.0,67.0,29.04,10.0,6,6
45.0,63.0,29.96,10.0,54,54
47.0,39.0,29.97,10.0,9,9
78.0,79.0,29.85,10.0,9,9
70.0,76.0,29.81,10.0,4,4
81.0,45.0,29.47,10.0,9,9
83.0,60.0,29.24,10.0,9,9
64.0,67.0,29.86,10.0,84,84
74.0,69.0,29.24,10.0,9,9
67.0,68.0,30.03,10.0,9,9
72.0,46.0,29.46,10.0,9,9
33.0,96.0,29.98,2.0,29,29
53.0,66.0,30.31,10.0,51,51
84.0,49.0,29.88,10.0,4,4
47.0,77.0,29.79,2.0,37,37
64.0,33.0,30.01,10.0,4,4
53.6,62.0,30.03,10.0,54,54
66.2,60.0,29.99,10.0,4,4
52.0,66.0,30.24,10.0,9,9
69.0,31.0,29.71,10.0,9,9
78.0,56.0,29.74,10.0,9,9
76.0,60.0,29.39,10.0,9,9
63.0,55.0,30.17,4.0,11,11
89.1,72.0,30.01,10.0,51,51
45.0,27.0,29.82,10.0,9,9
73.0,71.0,29.82,10.0,5,5
65.0,73.0,29.8,10.0,9,9
75.0,57.0,29.75,10.0,4,4
54.0,94.0,29.7,2.0,12,12
38.0,60.0,28.96,10.0,9,9
50.0,63.0,30.07,10.0,5,5
35.0,89.0,29.39,9.0,5,5
29.0,100.0,24.49,0.25,44,44
79.0,21.0,28.78,10.0,9,9
86.0,72.0,29.94,10.0,56,56
81.0,30.0,26.96,10.0,9,9
31.0,72.0,28.76,10.0,9,9
10.0,52.0,30.3,15.0,9,9
75.0,33.0,29.21,10.0,5,5
66.0,54.0,29.98,10.0,56,56
55.0,72.0,30.11,10.0,9,9
35.0,57.0,29.95,10.0,56,56
32.0,54.0,30.32,10.0,4,4
75.0,21.0,28.69,10.0,5,5
51.0,71.0,30.12,10.0,9,9
69.8,94.0,29.99,7.0,54,54
73.0,87.0,29.61,10.0,5,5
32.0,85.0,29.34,9.0,5,5
36.0,57.0,26.07,10.0,9,9
64.0,67.0,29.86,10.0,84,84
44.0,89.0,29.49,10.0,56,56
9.0,85.0,28.93,7.0,44,44
18.0,86.0,29.02,7.0,5,5
41.0,73.0,29.59,10.0,9,9
70.0,87.0,29.0,1.0,20,20
53.0,77.0,29.96,10.0,9,9
89.6,33.0,29.93,10.0,4,4
44.0,96.0,29.73,1.0,37,37
47.0,34.0,29.57,10.0,9,9
48.9,52.0,29.96,10.0,4,4
33.0,85.0,27.6,1.0,44,44
42.8,100.0,30.26,6.0,54,54
75.0,66.0,30.02,10.0,56,56
37.0,96.0,30.28,6.0,9,9
47.0,90.0,29.63,10.0,9,9
47.0,88.0,30.19,7.0,5,5
41.0,87.0,30.08,10.0,4,4
55.0,83.0,29.9,2.0,21,21
45.0,82.0,25.41,10.0,51,51
82.0,67.0,28.86,10.0,51,51
39.0,76.0,29.39,10.0,37,37
77.0,94.0,29.97,10.0,9,9
75.0,73.0,29.23,10.0,51,51
41.0,87.0,27.52,10.0,9,9
73.0,87.0,29.97,9.0,64,64
43.0,93.0,30.3,10.0,4,4
82.0,45.0,29.72,10.0,9,9
37.0,62.0,30.09,10.0,54,54
106.0,13.0,29.61,10.0,9,9
82.0,58.0,29.92,10.0,9,9
79.0,88.0,29.48,7.0,42,42
72.0,78.0,29.79,10.0,56,56
91.0,55.0,29.97,10.0,56,56
51.0,66.0,30.03,10.0,9,9
63.0,67.0,30.08,10.0,64,64
54.0,89.0,30.16,7.0,5,5
84.2,66.0,30.03,10.0,64,64
79.0,58.0,29.84,10.0,9,9
64.9,54.0,30.19,10.0,4,4
66.0,78.0,30.1,9.0,5,5
79.0,69.0,29.98,10.0,4,4
46.0,100.0,30.15,1.0,37,37
4.0,84.0,29.74,0.25,71,71
79.0,82.0,29.85,10.0,42,42
78.8,16.0,30.07,50.0,51,51
63.0,87.0,29.86,10.0,54,54
53.0,93.0,29.6,1.0,37,37
63.0,48.0,30.06,10.0,9,9
59.0,87.0,29.9,10.0,56,56
77.0,78.0,29.19,10.0,9,9
46.0,79.0,29.17,10.0,9,9
63.0,9.0,27.15,10.0,9,9
60.1,83.0,29.81,10.0,51,51
45.0,24.0,30.25,10.0,9,9
68.0,87.0,29.96,10.0,54,54
68.0,68.0,30.22,10.0,4,4
65.0,37.0,29.73,10.0,9,9
33.0,75.0,27.36,10.0,5,5
82.0,14.0,28.77,10.0,84,84
52.0,86.0,29.91,10.0,56,56
37.0,70.0,29.8,10.0,5,5
106.0,14.0,29.64,10.0,9,9
61.0,46.0,29.91,10.0,9,9
-0.9,75.0,30.1,3.0,17,17
40.0,41.0,29.43,10.0,9,9
55.9,64.0,29.94,10.0,4,4
68.0,45.0,28.94,10.0,10,10
34.0,100.0,29.82,4.0,56,56
57.0,94.0,30.01,10.0,5,5
81.0,52.0,29.77,10.0,9,9
27.0,39.0,29.93,10.0,56,56
73.0,42.0,29.07,10.0,51,51
82.0,37.0,29.49,10.0,9,9
75.0,68.0,29.39,10.0,9,9
54.0,67.0,29.81,1.0,37,37
62.1,80.0,30.07,10.0,4,4
32.0,32.0,23.03,10.0,9,9
79.0,9.0,28.61,10.0,9,9
95.0,29.0,28.97,10.0,9,9
86.0,70.0,29.95,10.0,56,56
50.0,80.0,30.25,10.0,9,9
33.0,96.0,29.95,9.0,9,9
50.0,93.0,29.96,10.0,37,37
84.0,53.0,28.92,10.0,9,9
54.0,54.0,29.0,10.0,51,51
54.0,49.0,30.18,10.0,56,56
95.0,14.0,28.77,10.0,9,9
77.0,76.0,30.01,10.0,9,9
51.0,86.0,29.97,10.0,5,5
68.0,93.0,29.87,4.0,37,37
79.0,90.0,29.81,10.0,54,54
78.0,71.0,30.2,10.0,56,56
70.0,73.0,28.82,10.0,9,9
82.0,69.0,29.43,10.0,5,5
65.0,26.0,30.14,10.0,9,9
36.0,55.0,29.07,10.0,9,9
55.0,29.0,29.59,10.0,9,9
82.0,71.0,29.98,10.0,56,56
71.0,84.0,29.81,10.0,51,51
77.0,69.0,30.09,10.0,56,56
77.0,69.0,29.74,10.0,51,51
56.0,80.0,29.84,9.0,51,51
75.0,62.0,29.86,10.0,9,9
80.0,50.0,29.84,5.0,9,9
93.9,47.0,29.97,10.0,64,64
91.0,28.0,29.77,10.0,9,9
100.9,31.0,29.79,10.0,4,4
35.0,57.0,30.49,10.0,56,56
77.0,62.0,29.82,10.0,9,9
68.0,37.0,30.08,10.0,54,54
51.1,46.0,29.93,10.0,4,4
76.0,87.0,29.47,10.0,5,5
1.4,47.0,30.41,10.0,56,56
75.0,71.0,30.1,10.0,5,5
48.0,89.0,29.42,9.0,37,37
66.0,13.0,25.71,10.0,9,9
68.0,83.0,29.95,10.0,9,9
64.4,40.0,30.08,9.0,4,4
77.0,50.0,28.94,10.0,56,56
69.0,23.0,29.89,10.0,9,9
75.9,71.0,29.95,7.0,4,4
80.0,52.0,30.15,10.0,56,56
64.9,84.0,29.89,7.0,54,54
66.0,59.0,29.9,10.0,4,4
90.0,57.0,30.02,10.0,51,51
64.0,67.0,30.07,10.0,84,84
87.0,46.0,29.35,10.0,51,51
61.0,78.0,30.02,10.0,4,4
84.0,55.0,27.5,10.0,9,9
70.0,84.0,30.07,9.0,56,56
77.0,50.0,29.44,10.0,51,51
64.9,36.0,29.75,10.0,4,4
84.9,48.0,30.09,10.0,51,51
75.0,76.0,30.09,10.0,51,51
72.0,78.0,29.71,10.0,9,9
71.1,35.0,29.92,10.0,4,4
76.0,67.0,29.54,9.0,9,9
75.9,42.0,29.94,10.0,4,4
27.0,78.0,27.38,10.0,51,51
92.0,47.0,29.25,10.0,56,56
66.0,43.0,25.8,10.0,51,51
74.0,48.0,29.89,9.0,9,9
89.0,50.0,29.69,10.0,56,56
79.0,69.0,29.54,10.0,9,9
78.1,87.0,29.94,10.0,51,51
20.0,87.0,29.05,5.0,44,44
48.0,80.0,29.13,10.0,5,5
34.0,27.0,30.45,10.0,4,4
24.0,81.0,23.18,10.0,9,9
64.0,38.0,30.02,10.0,9,9
70.0,32.0,29.24,10.0,9,9
85.0,72.0,29.95,10.0,37,37
53.0,66.0,29.99,10.0,9,9
73.0,71.0,28.87,10.0,5,5
51.0,66.0,30.09,10.0,9,9
77.0,41.0,28.73,6.0,17,17
77.0,40.0,30.04,10.0,56,56
63.0,87.0,30.15,4.0,37,37
63.0,72.0,30.18,10.0,9,9
56.0,64.0,29.88,10.0,9,9
64.0,94.0,29.75,5.0,59,59
72.0,51.0,29.49,10.0,9,9
53.0,93.0,30.0,10.0,9,9
69.0,23.0,29.84,10.0,9,9
52.9,62.0,30.08,10.0,54,54
33.0,48.0,29.0,10.0,9,9
57.0,59.0,30.01,10.0,4,4
78.0,45.0,29.7,10.0,9,9
59.0,49.0,29.48,10.0,51,51
97.0,23.0,28.68,10.0,9,9
18.0,62.0,30.08,10.0,4,4
79.0,94.0,29.89,7.0,51,51
42.0,85.0,29.53,10.0,9,9
42.1,89.0,30.12,10.0,56,56
75.0,94.0,30.07,10.0,9,9
71.0,81.0,28.93,10.0,5,5
53.0,96.0,29.6,4.0,9,9
28.0,81.0,29.28,10.0,9,9
92.0,45.0,29.28,10.0,9,9
55.0,96.0,29.83,3.0,59,59
38.0,54.0,29.74,10.0,51,51
57.0,82.0,30.13,10.0,51,51
48.0,77.0,29.73,10.0,64,64
45.0,53.0,29.56,10.0,9,9
32.0,41.0,24.28,10.0,56,56
75.9,85.0,29.93,10.0,54,54
55.0,89.0,30.03,4.0,5,5
64.0,67.0,29.86,10.0,84,84
66.0,73.0,29.93,10.0,4,4
51.0,76.0,29.85,10.0,9,9
93.0,24.0,28.65,10.0,9,9
54.0,33.0,25.17,10.0,9,9
50.0,80.0,29.81,3.0,37,37
70.0,26.0,29.26,10.0,9,9
52.0,63.0,29.95,10.0,37,37
37.0,25.0,30.25,10.0,56,56
